Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PF,Team,Season,Class,Pos,Height
Noah Robotham,29,27.0,922,5.7,13.7,2.2,5.0,3.5,8.8,2.6,3.5,5.0,6.8,2.1,0.2,2.6,3.3,akron,2016,2.0,G,73.0
Jimond Ivey,32,0.0,274,6.1,15.2,5.1,10.3,1.1,4.9,4.0,7.0,11.0,4.4,1.9,0.6,3.8,6.1,akron,2016,2.0,G,76.0
Aaron Jackson,29,6.0,285,5.5,13.6,3.2,6.3,2.2,7.3,3.9,5.5,6.9,2.2,1.2,0.6,2.2,8.3,akron,2016,2.0,G,80.0
Carlitos Anderson,5,0.0,13,4.5,4.5,0.0,0.0,4.5,4.5,0.0,0.0,13.4,4.5,4.5,0.0,0.0,0.0,akron,2016,1.0,G,73.0
Mark Noble,5,0.0,14,4.1,12.4,4.1,8.3,0.0,4.1,0.0,0.0,4.1,0.0,4.1,0.0,8.3,8.3,akron,2016,3.0,G,74.0
Peter Agba,1,0.0,10,0.0,23.1,0.0,17.4,0.0,5.8,0.0,11.6,23.1,0.0,0.0,0.0,0.0,11.6,akron,2016,1.0,F,78.0
Daniel Utomi,2,0.0,4,0.0,28.9,0.0,14.5,0.0,14.5,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,akron,2016,1.0,F,78.0
Ladarius Tabb,29,29.0,1000,12.3,27.9,9.5,18.5,2.7,9.3,6.2,9.8,12.3,1.3,2.5,0.5,3.0,4.4,alabama-am,2016,4.0,G,77.0
Nicholas West,29,29.0,878,9.2,19.9,7.9,15.4,1.2,4.4,8.5,11.8,15.8,3.0,1.2,1.9,4.9,6.6,alabama-am,2016,4.0,F,82.0
Jacob Perry,27,0.0,431,6.9,17.8,4.2,8.2,2.7,9.6,7.6,10.9,4.1,6.1,1.1,0.0,4.9,7.4,alabama-am,2016,4.0,G,70.0
Quinterian McConico,18,7.0,325,10.1,15.8,9.9,15.6,0.2,0.2,2.8,3.9,12.4,0.9,0.6,1.5,2.6,6.9,alabama-am,2016,3.0,C,80.0
Rashawn Green,19,15.0,248,7.4,17.7,2.0,3.7,5.4,14.0,0.7,1.5,4.4,2.2,1.2,0.0,2.2,6.4,alabama-am,2016,1.0,G,75.0
Christopher Thomas,28,19.0,480,6.2,14.3,4.4,7.5,1.8,6.9,1.8,2.9,8.9,1.8,0.6,0.3,1.7,4.7,alabama-am,2016,3.0,G,79.0
Rakiya Battle,29,24.0,756,4.0,12.5,2.7,7.7,1.4,4.8,5.3,6.8,5.6,12.3,2.0,0.2,4.8,3.2,alabama-am,2016,3.0,G,72.0
Matthew Cotton,26,5.0,186,3.9,10.8,2.3,5.6,1.6,5.2,4.9,6.6,7.2,6.6,1.3,0.0,4.9,3.6,alabama-am,2016,4.0,G,70.0
Zachary Jackson,22,2.0,158,5.0,14.3,4.2,10.0,0.8,4.2,1.9,5.0,7.3,1.9,2.7,0.8,2.3,6.9,alabama-am,2016,1.0,G,76.0
Adrian Edwards,29,2.0,362,5.4,15.5,5.4,15.0,0.0,0.5,1.9,2.9,12.5,2.0,1.5,0.5,2.4,9.3,alabama-am,2016,3.0,F,76.0
Arthur Wade,29,12.0,625,3.6,10.0,1.9,4.0,1.8,6.0,2.1,3.1,5.4,2.8,2.4,0.8,2.0,8.0,alabama-am,2016,4.0,G,76.0
Tyler Davis,21,0.0,275,3.5,11.1,1.1,1.8,2.4,9.3,0.9,1.6,4.0,1.6,2.2,0.0,1.6,4.2,alabama-am,2016,4.0,G,74.0
Baryn Houston,14,0.0,78,3.1,10.9,0.8,4.7,2.3,6.3,0.0,0.8,7.8,3.1,2.3,0.0,2.3,6.3,alabama-am,2016,4.0,G,79.0
Mohamed Sherif,13,0.0,72,1.7,8.5,1.7,8.5,0.0,0.0,4.2,9.3,11.0,0.8,0.8,0.8,7.6,6.8,alabama-am,2016,1.0,F,80.0
Justin Colvin,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alabama-am,2016,4.0,G,75.0
Cezanne Carson,1,1.0,0,,,,,,,,,,,,,,,alabama-am,2016,1.0,G,78.0
Brontae Harris,1,0.0,0,,,,,,,,,,,,,,,alabama-am,2016,1.0,G,70.0
Jesse Johnson,1,0.0,0,,,,,,,,,,,,,,,alabama-am,2016,3.0,F,79.0
Marcus Merriweather,1,0.0,0,,,,,,,,,,,,,,,alabama-am,2016,3.0,G,73.0
Thomas Smallwood,10,0.0,47,17.2,30.6,9.8,14.7,7.4,15.9,6.1,7.4,23.3,2.5,0.0,3.7,0.0,11.0,alabama-birmingham,2016,1.0,F,84.0
Chris Cokley,33,22.0,728,13.9,24.3,13.9,24.3,0.0,0.0,6.4,8.9,16.9,3.7,2.3,1.8,2.7,7.2,alabama-birmingham,2016,2.0,F,80.0
Dirk Williams,33,1.0,625,10.0,20.6,5.5,9.1,4.4,11.5,4.1,4.5,11.8,4.1,1.3,1.6,3.3,4.5,alabama-birmingham,2016,3.0,G,77.0
Robert Brown,33,32.0,999,9.2,21.5,5.4,11.6,3.9,9.8,4.3,5.5,5.2,5.9,1.7,0.5,3.3,3.3,alabama-birmingham,2016,4.0,G,77.0
William Lee,33,19.0,818,9.6,19.6,7.4,13.0,2.3,6.5,3.1,4.7,14.3,3.6,1.6,6.5,3.7,3.8,alabama-birmingham,2016,2.0,F,81.0
Lewis Sullivan,33,1.0,409,8.2,13.5,8.0,13.0,0.1,0.6,5.8,8.6,11.8,3.5,1.5,1.4,3.2,7.2,alabama-birmingham,2016,2.0,F,79.0
Nick Norton,32,31.0,878,5.8,14.1,2.0,3.5,3.9,10.6,3.2,3.7,5.5,10.6,3.4,0.1,3.5,3.5,alabama-birmingham,2016,2.0,G,70.0
Tosin Mehinti,32,24.0,649,6.4,11.4,6.4,11.4,0.0,0.0,3.6,6.7,13.4,3.4,1.3,2.9,4.3,8.0,alabama-birmingham,2016,3.0,F,81.0
Denzell Watts,33,2.0,497,5.2,13.1,2.3,5.3,2.9,7.8,2.1,2.9,5.9,6.4,1.9,0.1,4.3,4.2,alabama-birmingham,2016,3.0,G,74.0
Hakeem Baxter,33,32.0,803,4.4,11.2,3.7,8.8,0.7,2.4,4.4,6.0,6.7,4.9,1.3,0.6,3.4,3.9,alabama-birmingham,2016,3.0,G,74.0
Tyler Madison,32,1.0,225,5.1,13.8,4.9,12.8,0.3,1.0,3.3,4.9,8.4,3.6,1.3,0.8,4.1,8.4,alabama-birmingham,2016,3.0,G,76.0
Lionel Love,10,0.0,22,2.6,5.2,0.0,0.0,2.6,5.2,5.2,5.2,7.9,0.0,0.0,0.0,0.0,2.6,alabama-birmingham,2016,2.0,G,75.0
Jamel Waters,31,31.0,1057,8.7,21.2,4.6,11.2,4.1,10.0,5.3,7.3,7.3,7.3,2.9,0.1,4.4,3.5,alabama-state,2016,4.0,G,69.0
Tony Armstrong,21,19.0,561,9.9,20.7,9.9,20.7,0.0,0.0,6.0,9.5,12.8,1.6,1.2,2.4,2.5,7.6,alabama-state,2016,3.0,F,78.0
Corvon Butler,31,18.0,693,10.6,19.2,10.5,18.4,0.1,0.7,3.5,5.1,15.4,2.4,1.7,1.6,2.7,7.8,alabama-state,2016,3.0,F,78.0
Bobby Brown,31,18.0,792,7.6,21.6,5.4,13.1,2.3,8.5,2.3,3.4,13.0,1.3,1.3,1.0,3.1,3.9,alabama-state,2016,4.0,G,78.0
Terrance LeFlore,31,8.0,597,6.3,18.7,3.5,11.3,2.8,7.4,4.0,5.6,5.4,5.5,1.8,0.3,4.3,5.9,alabama-state,2016,2.0,G,73.0
Mikel Tyson,25,0.0,258,7.6,12.0,7.6,12.0,0.0,0.0,4.2,7.1,16.5,0.9,0.9,2.5,4.0,10.9,alabama-state,2016,1.0,F,76.0
Torloft Thomas,31,22.0,838,4.8,12.8,2.3,5.7,2.5,7.1,4.9,6.6,5.2,4.0,1.4,0.2,4.4,4.7,alabama-state,2016,3.0,G,76.0
Steve Rogers,31,17.0,749,5.0,15.9,2.7,7.3,2.3,8.6,3.3,4.4,4.1,2.5,1.5,0.4,2.2,5.0,alabama-state,2016,2.0,G,71.0
Chidozie Omile,25,10.0,305,5.3,16.8,4.0,10.9,1.3,5.8,2.1,4.1,9.6,2.5,1.7,1.1,3.6,7.5,alabama-state,2016,4.0,G,77.0
Joseff Smith,8,0.0,9,6.4,6.4,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,6.4,19.2,alabama-state,2016,1.0,G,74.0
Nicholas Barnes,8,0.0,57,4.0,13.1,0.0,2.0,4.0,11.1,0.0,2.0,2.0,0.0,1.0,0.0,3.0,6.1,alabama-state,2016,3.0,G,78.0
Glenn Hollaway,25,4.0,297,4.8,7.6,4.8,7.4,0.0,0.2,1.0,2.1,11.8,1.5,0.6,3.9,1.0,7.9,alabama-state,2016,2.0,F,81.0
Robert Ojeah,13,8.0,81,4.3,8.5,4.3,8.5,0.0,0.0,2.1,6.4,15.6,0.7,0.0,0.7,2.8,15.6,alabama-state,2016,4.0,C,81.0
Davante Pope,5,0.0,7,0.0,8.2,0.0,0.0,0.0,8.2,0.0,0.0,8.2,8.2,0.0,0.0,0.0,16.4,alabama-state,2016,3.0,G,74.0
Branden Johnson,1,0.0,0,,,,,,,,,,,,,,,alabama-state,2016,1.0,C,79.0
Retin Obasohan,33,33.0,1067,10.9,23.2,8.2,15.9,2.7,7.3,8.3,11.8,7.1,4.9,2.6,0.6,4.6,4.7,alabama,2016,4.0,G,73.0
Shannon Hale,28,12.0,688,8.4,22.6,4.6,11.1,3.8,11.5,6.0,8.0,7.0,1.2,1.1,0.6,5.1,5.6,alabama,2016,3.0,F,80.0
Arthur Edwards,33,33.0,945,6.8,16.6,2.3,5.1,4.5,11.5,1.7,2.6,7.9,3.0,1.7,1.0,4.0,5.3,alabama,2016,4.0,G,78.0
Dazon Ingram,7,7.0,179,6.8,12.5,6.4,11.8,0.3,0.7,4.4,7.4,13.9,7.8,2.7,1.0,8.1,8.1,alabama,2016,1.0,G,77.0
Justin Coleman,33,7.0,866,5.1,17.0,2.3,6.7,2.8,10.3,5.1,5.7,4.5,7.7,1.6,0.0,4.5,3.3,alabama,2016,2.0,G,70.0
Riley Norris,33,19.0,930,5.0,13.5,2.1,5.7,2.9,7.8,3.1,4.7,11.4,1.5,1.7,0.5,2.5,4.2,alabama,2016,2.0,G,79.0
Lawson Schaffer,15,0.0,32,3.8,18.9,0.0,1.9,3.8,17.0,3.8,7.6,3.8,3.8,1.9,0.0,1.9,5.7,alabama,2016,1.0,G,71.0
Jimmie Taylor,33,33.0,694,5.9,10.4,5.9,10.4,0.0,0.0,3.1,8.5,13.4,1.1,1.5,5.1,3.6,7.4,alabama,2016,3.0,F,82.0
Michael Kessens,33,21.0,547,5.3,9.5,5.2,9.0,0.1,0.6,2.8,5.1,12.9,2.1,1.7,1.5,3.2,8.5,alabama,2016,3.0,F,81.0
Donta Hall,33,0.0,421,5.3,8.8,5.3,8.8,0.0,0.0,2.7,6.3,20.4,1.0,2.2,7.9,2.3,11.9,alabama,2016,1.0,F,81.0
Brandon Austin,30,0.0,268,4.1,13.3,2.3,4.3,1.8,9.0,0.5,0.9,6.1,0.5,0.7,0.9,1.4,3.8,alabama,2016,1.0,G,77.0
Christian Clark,9,0.0,13,0.0,4.7,0.0,4.7,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,9.3,4.7,alabama,2016,2.0,F,77.0
David Nichols,15,1.0,76,10.1,17.9,8.5,13.2,1.6,4.7,9.3,13.2,5.4,5.4,0.8,0.8,6.2,6.2,albany-ny,2016,1.0,G,72.0
Joe Cremo,33,1.0,684,9.3,18.1,7.7,14.0,1.6,4.1,9.5,11.0,10.7,4.0,2.0,0.5,3.8,3.7,albany-ny,2016,1.0,G,76.0
Jamir Andrews,23,0.0,160,7.0,20.6,3.3,7.7,3.7,12.9,8.5,9.2,6.3,2.9,2.6,0.0,4.8,7.0,albany-ny,2016,3.0,G,75.0
Ray Sanders,33,31.0,907,8.7,19.8,6.0,12.6,2.7,7.2,5.9,7.6,9.2,5.0,3.4,0.2,3.8,5.9,albany-ny,2016,4.0,G,76.0
Travis Charles,9,0.0,127,9.8,16.7,9.8,16.7,0.0,0.0,4.2,7.4,10.7,0.9,0.5,0.9,2.8,9.3,albany-ny,2016,3.0,F,78.0
Evan Singletary,33,31.0,1098,7.5,18.3,4.8,10.5,2.7,7.8,5.3,7.1,6.4,5.2,2.1,0.4,3.9,4.1,albany-ny,2016,4.0,G,73.0
Peter Hooley,33,31.0,1085,7.1,18.6,4.9,9.7,2.2,8.9,6.0,7.9,8.3,4.9,1.7,0.2,4.0,2.0,albany-ny,2016,4.0,G,76.0
Greig Stire,32,32.0,742,7.2,13.1,7.2,13.1,0.0,0.0,4.9,7.7,15.3,2.0,1.1,0.3,2.6,8.1,albany-ny,2016,2.0,F,79.0
Dallas Ennema,32,2.0,466,6.3,15.9,3.0,6.2,3.3,9.7,2.0,2.9,9.7,1.6,1.3,0.8,1.8,5.7,albany-ny,2016,3.0,F,78.0
Mike Rowley,33,33.0,953,6.4,11.1,6.4,11.0,0.0,0.1,4.1,5.6,13.2,2.4,2.0,0.7,3.3,5.8,albany-ny,2016,3.0,F,80.0
Richard Peters,31,3.0,378,6.2,10.6,6.2,10.6,0.0,0.0,2.0,3.4,15.4,1.1,0.8,1.2,4.1,7.5,albany-ny,2016,3.0,C,83.0
Octavius Brown,21,21.0,651,9.2,19.1,6.6,12.6,2.6,6.6,4.3,5.7,13.6,1.8,1.5,2.6,3.5,4.6,alcorn-state,2016,4.0,F,80.0
Deandre Davis,30,18.0,553,9.8,16.8,9.1,15.1,0.7,1.6,3.9,6.4,14.6,0.9,1.5,2.3,3.5,9.8,alcorn-state,2016,3.0,F,79.0
Reginald Johnson,30,0.0,516,9.6,21.5,7.9,16.7,1.6,4.8,3.2,4.8,9.7,1.6,0.7,0.4,2.9,3.7,alcorn-state,2016,2.0,F,77.0
Tamarcio Wilson,29,26.0,903,8.1,19.9,5.6,11.4,2.5,8.5,5.0,6.9,5.9,3.4,1.3,0.1,5.4,2.8,alcorn-state,2016,4.0,G,74.0
Patrick Onwenu,29,22.0,727,5.8,12.1,5.8,11.4,0.0,0.7,7.8,10.7,9.6,2.0,0.8,2.5,4.3,6.6,alcorn-state,2016,4.0,F,78.0
Devonte Hampton,27,26.0,800,6.0,16.8,3.2,8.0,2.8,8.8,2.7,4.0,7.5,4.7,2.1,0.5,4.4,5.9,alcorn-state,2016,4.0,G,73.0
TyQuayion Smith,13,0.0,40,6.0,12.0,6.0,12.0,0.0,0.0,4.5,6.0,1.5,1.5,0.0,1.5,1.5,12.0,alcorn-state,2016,1.0,F,78.0
Marquis Vance,30,27.0,892,5.1,15.0,3.1,8.9,2.0,6.1,4.0,6.6,10.9,3.8,0.9,1.1,4.1,3.9,alcorn-state,2016,3.0,F,79.0
Rahamanh Katumbusi II,27,0.0,258,4.4,16.1,1.9,8.2,2.6,7.9,4.2,5.8,3.0,0.9,2.3,0.0,4.2,4.7,alcorn-state,2016,1.0,G,74.0
Tyrel Hunt,29,5.0,425,4.1,10.9,3.5,9.2,0.6,1.7,6.1,8.6,7.7,2.3,1.4,0.3,3.5,5.1,alcorn-state,2016,4.0,F,77.0
Juwan Henderson,5,1.0,49,3.7,14.7,2.5,6.1,1.2,8.6,2.5,4.9,9.8,4.9,1.2,0.0,6.1,12.3,alcorn-state,2016,2.0,G,69.0
Malachy Onwudiegwu,25,4.0,234,3.3,14.7,1.8,7.2,1.5,7.5,2.8,5.9,4.6,1.3,0.8,0.3,4.6,6.4,alcorn-state,2016,3.0,G,74.0
Shawn Willett,18,0.0,104,3.5,17.9,2.9,11.0,0.6,6.9,3.5,6.9,8.1,4.1,2.3,0.0,5.8,10.4,alcorn-state,2016,1.0,G,75.0
Keynan Pittman,3,0.0,0,,,,,,,,,,,,,,,alcorn-state,2016,4.0,F,82.0
Paris Maragkos,31,31.0,463,12.6,25.1,11.3,22.8,1.3,2.4,4.2,6.0,9.8,3.9,1.7,0.7,7.5,9.4,american,2016,3.0,F,81.0
Delante Jones,30,25.0,997,7.5,17.6,5.0,10.8,2.5,6.9,5.8,8.4,6.9,3.4,1.4,0.4,5.1,5.3,american,2016,1.0,F,77.0
Gabe Brown,3,0.0,17,11.4,15.2,11.4,15.2,0.0,0.0,0.0,3.8,3.8,7.6,0.0,3.8,15.2,11.4,american,2016,2.0,C,84.0
Jesse Reed,31,30.0,1173,7.6,17.0,4.6,9.5,3.0,7.5,4.0,5.5,7.8,3.6,1.6,1.0,4.1,4.2,american,2016,4.0,G,77.0
Andrija Matic,30,0.0,438,6.2,14.2,4.9,9.7,1.3,4.4,3.4,5.3,9.4,3.8,0.6,1.3,6.6,8.7,american,2016,1.0,F,82.0
Jalen Rhea,22,1.0,366,5.1,15.2,1.2,3.7,3.9,11.5,2.5,3.7,4.8,1.6,1.9,0.0,1.6,6.2,american,2016,3.0,G,74.0
James Washington,31,26.0,784,6.0,17.3,3.5,8.6,2.5,8.7,1.8,2.8,4.3,2.7,1.9,0.2,4.0,5.4,american,2016,1.0,G,73.0
Alex Paquin,14,5.0,107,6.0,13.3,5.4,9.1,0.6,4.2,2.4,3.6,6.0,1.2,1.2,0.0,3.0,9.7,american,2016,2.0,G,72.0
Charlie Jones,31,15.0,673,4.7,9.2,3.3,6.1,1.4,3.2,3.3,4.6,9.9,3.7,3.3,1.5,2.9,4.8,american,2016,3.0,G,76.0
Lonnie Rivera,22,0.0,227,4.6,12.0,4.3,9.7,0.3,2.3,4.0,5.1,10.3,2.8,0.9,0.3,5.4,5.7,american,2016,1.0,F,78.0
Leon Tolksdorf,22,1.0,221,4.7,14.6,2.3,4.4,2.3,10.2,0.9,2.0,10.5,4.1,2.6,1.5,0.9,7.0,american,2016,3.0,F,80.0
Marko Vasic,31,21.0,787,4.1,9.9,3.5,7.5,0.6,2.4,1.7,2.4,11.3,5.6,2.2,0.5,3.0,5.6,american,2016,4.0,F,77.0
Kevin Brown,1,0.0,0,,,,,,,,,,,,,,,american,2016,1.0,G,74.0
Trey Ford,1,0.0,1,56.5,56.5,0.0,0.0,56.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,appalachian-state,2016,1.0,G,72.0
Frank Eaves,31,30.0,965,10.0,26.1,5.1,13.5,4.9,12.6,9.1,11.2,6.8,4.0,1.5,0.1,4.1,4.2,appalachian-state,2016,4.0,G,74.0
Ronshad Shabazz,31,30.0,786,9.1,23.0,6.0,14.4,3.2,8.6,5.2,7.7,8.0,3.4,1.4,0.1,4.7,3.4,appalachian-state,2016,1.0,G,77.0
Dylan Hodson,4,0.0,7,8.1,32.3,0.0,24.2,8.1,8.1,0.0,0.0,32.3,0.0,0.0,0.0,0.0,0.0,appalachian-state,2016,2.0,G,75.0
Landon Goesling,3,0.0,20,5.6,14.1,5.6,11.3,0.0,2.8,8.5,16.9,8.5,0.0,0.0,0.0,5.6,5.6,appalachian-state,2016,2.0,G,74.0
Jacob Lawson,31,6.0,479,7.2,13.6,7.2,13.6,0.0,0.0,5.0,6.6,13.1,2.4,1.5,6.4,3.7,11.0,appalachian-state,2016,4.0,F,80.0
Griffin Kinney,31,29.0,581,7.0,14.8,7.0,14.6,0.0,0.2,4.9,7.3,14.1,2.5,1.4,0.2,5.2,8.0,appalachian-state,2016,2.0,F,80.0
Chris Burgess,31,31.0,653,6.1,14.7,2.2,4.5,3.9,10.2,2.6,3.2,3.1,5.9,1.2,0.0,2.3,5.2,appalachian-state,2016,4.0,G,68.0
Bennett Holley,25,0.0,232,5.6,13.1,1.5,2.7,4.1,10.5,2.7,3.4,6.8,1.7,0.0,0.5,2.2,8.3,appalachian-state,2016,1.0,F,80.0
Emarius Logan,31,0.0,578,5.7,15.5,3.4,9.1,2.2,6.4,3.7,4.7,5.9,3.7,0.7,0.2,5.5,3.2,appalachian-state,2016,1.0,G,74.0
Matt O'Boyle,31,1.0,371,4.6,14.5,1.4,3.0,3.2,11.4,1.8,3.8,10.5,2.0,0.5,0.5,2.4,6.2,appalachian-state,2016,3.0,G,77.0
Hudson Terrell,2,0.0,12,0.0,4.7,0.0,4.7,0.0,0.0,14.1,28.2,18.8,0.0,0.0,4.7,9.4,18.8,appalachian-state,2016,1.0,F,76.0
Dustin Clarke,18,1.0,98,4.6,15.6,2.9,6.3,1.7,9.2,2.3,2.3,11.0,3.5,1.7,0.6,3.5,2.9,appalachian-state,2016,4.0,G,75.0
Tyrell Johnson,30,21.0,520,4.9,12.5,4.6,11.0,0.3,1.5,2.9,5.5,13.4,0.9,1.5,2.3,4.3,7.2,appalachian-state,2016,1.0,F,80.0
Michael Obacha,30,6.0,508,3.4,6.0,3.4,6.0,0.0,0.0,4.2,7.8,12.2,1.2,0.9,1.2,3.2,8.9,appalachian-state,2016,4.0,F,80.0
Jake Babic,31,0.0,359,3.0,11.8,0.6,4.4,2.4,7.4,1.6,2.7,6.9,6.9,0.8,0.5,4.7,6.0,appalachian-state,2016,2.0,G,77.0
Mike Kobani,6,0.0,26,2.2,6.5,2.2,6.5,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,8.7,17.4,appalachian-state,2016,3.0,F,80.0
Kevin Kerley,2,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,appalachian-state,2016,1.0,G,71.0
Jalen Sanders,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,0.0,0.0,56.5,0.0,appalachian-state,2016,2.0,G,70.0
Savon Goodman,28,6.0,588,10.2,18.6,10.2,18.2,0.0,0.4,5.7,12.3,17.5,1.5,1.6,1.5,3.9,8.5,arizona-state,2016,3.0,F,78.0
Tra Holder,32,32.0,1017,7.9,20.4,5.1,12.8,2.8,7.5,7.0,9.7,6.3,6.6,1.9,0.1,4.7,3.7,arizona-state,2016,2.0,G,73.0
Obinna Oleka,32,18.0,792,7.5,19.0,5.6,12.8,2.0,6.2,5.3,6.8,14.1,1.6,1.6,1.2,3.1,4.8,arizona-state,2016,3.0,F,79.0
Gerry Blakes,32,29.0,962,7.6,19.8,4.8,10.8,2.8,8.9,3.0,4.1,10.1,4.5,2.0,0.3,3.9,5.6,arizona-state,2016,4.0,G,76.0
Andre Spight,27,8.0,526,6.5,19.3,2.6,6.9,3.9,12.4,2.5,3.2,2.6,3.7,1.4,0.0,2.2,4.6,arizona-state,2016,3.0,G,75.0
Eric Jacobsen,32,32.0,722,7.2,12.5,7.1,12.4,0.1,0.2,4.9,7.7,12.9,1.3,0.5,2.5,2.3,8.0,arizona-state,2016,4.0,F,82.0
Kodi Justice,32,3.0,792,6.1,15.4,1.7,4.6,4.3,10.9,1.8,2.4,5.0,5.5,2.2,0.4,3.8,5.6,arizona-state,2016,2.0,G,75.0
Willie Atwood,32,32.0,866,5.2,13.0,3.0,6.2,2.1,6.7,5.3,6.7,9.2,2.9,1.0,0.6,2.0,6.4,arizona-state,2016,4.0,F,80.0
Austin Witherill,13,0.0,18,3.2,19.1,0.0,3.2,3.2,15.9,6.4,6.4,0.0,0.0,0.0,0.0,3.2,0.0,arizona-state,2016,2.0,G,72.0
Maurice O'Field,23,0.0,148,1.9,8.1,1.5,4.6,0.4,3.5,0.4,0.8,7.0,1.5,0.4,0.4,2.7,5.4,arizona-state,2016,2.0,G,77.0
Tyler Harris,8,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,4.4,0.0,0.0,0.0,0.0,arizona-state,2016,1.0,G,77.0
Shazier Lawson,5,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,9.6,0.0,28.7,arizona-state,2016,1.0,G,76.0
Jacob Hazzard,7,0.0,26,13.2,22.0,4.4,8.8,8.8,13.2,4.4,4.4,2.2,4.4,0.0,0.0,2.2,8.8,arizona,2016,4.0,G,72.0
Allonzo Trier,27,21.0,757,9.2,19.8,6.2,11.5,3.0,8.3,8.7,11.0,6.7,2.3,1.1,0.5,3.9,3.9,arizona,2016,1.0,G,76.0
Ryan Anderson,33,33.0,963,10.4,19.0,10.2,18.6,0.1,0.4,9.2,12.4,19.9,1.5,1.4,1.2,3.7,4.2,arizona,2016,4.0,F,81.0
Gabe York,34,34.0,1133,8.9,21.2,4.0,9.4,5.0,11.8,3.0,3.9,5.5,3.8,1.5,0.5,3.6,3.5,arizona,2016,4.0,G,75.0
Dusan Ristic,34,9.0,561,9.6,17.5,9.3,16.6,0.3,0.8,5.3,8.4,13.1,2.8,0.5,2.3,4.3,6.8,arizona,2016,2.0,C,84.0
Kaleb Tarczewski,26,24.0,712,6.4,12.1,6.4,12.1,0.0,0.0,6.8,9.5,19.5,1.4,0.6,2.9,2.7,6.2,arizona,2016,4.0,C,84.0
Kadeem Allen,34,28.0,848,6.8,14.5,5.5,11.1,1.2,3.4,4.5,6.4,7.2,8.2,2.4,1.8,4.6,5.5,arizona,2016,3.0,G,75.0
Mark Tollefsen,34,13.0,744,6.9,13.5,4.9,7.9,2.0,5.6,2.4,3.0,7.9,3.4,1.0,1.5,1.5,4.9,arizona,2016,4.0,F,81.0
Justin Simon,24,0.0,180,7.3,14.6,7.0,13.7,0.3,1.0,2.9,6.7,9.2,2.5,2.2,1.9,4.5,7.0,arizona,2016,1.0,G,77.0
Chance Comanche,23,0.0,139,6.6,13.6,6.6,13.6,0.0,0.0,4.5,6.6,14.8,2.1,0.4,2.9,3.3,7.0,arizona,2016,1.0,C,82.0
Parker Jackson-Cartwright,34,6.0,722,4.5,11.3,2.4,5.6,2.1,5.7,2.9,4.5,4.4,9.2,1.7,0.6,3.8,5.8,arizona,2016,2.0,G,68.0
Elliott Pitts,7,2.0,149,2.7,10.0,1.9,3.8,0.8,6.2,0.0,0.8,6.2,5.0,3.1,0.0,4.2,8.1,arizona,2016,3.0,G,77.0
Paulo Cruz,6,0.0,16,0.0,7.2,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.6,7.2,arizona,2016,1.0,G,76.0
Jalen Jackson,33,0.0,509,13.7,27.5,13.0,25.7,0.7,1.8,6.0,8.3,8.4,2.7,2.1,1.1,5.8,6.2,arkansas-little-rock,2016,3.0,F,78.0
Ben Marcus,9,0.0,16,15.5,23.2,15.5,23.2,0.0,0.0,0.0,0.0,7.7,0.0,3.9,7.7,3.9,3.9,arkansas-little-rock,2016,1.0,G,77.0
Evan Moorman,3,0.0,12,10.3,31.0,0.0,0.0,10.3,31.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,arkansas-little-rock,2016,3.0,G,73.0
Roger Woods,35,19.0,795,9.8,18.2,9.0,15.5,0.9,2.7,7.2,11.1,11.6,4.4,2.6,0.6,4.0,5.7,arkansas-little-rock,2016,4.0,F,77.0
Josh Hagins,35,33.0,1073,9.3,20.7,6.1,12.1,3.3,8.6,4.7,5.7,8.5,9.5,3.0,0.3,3.4,4.3,arkansas-little-rock,2016,4.0,G,73.0
Marcus Johnson Jr.,35,18.0,1072,8.1,17.1,3.8,7.8,4.3,9.3,4.8,6.1,6.2,3.1,1.6,0.0,2.7,2.3,arkansas-little-rock,2016,3.0,G,71.0
Deondre Burns,18,1.0,94,5.9,15.8,5.3,9.2,0.7,6.6,7.9,7.9,6.6,2.0,4.0,0.7,3.3,4.6,arkansas-little-rock,2016,1.0,G,74.0
Lis Shoshi,35,34.0,794,8.0,16.5,7.1,13.9,0.9,2.6,2.5,3.9,14.6,2.3,0.6,3.0,2.2,7.5,arkansas-little-rock,2016,3.0,F,83.0
